1885 11 01 47 -33
1885 11 02 99 4
1885 11 03 36 8
1885 11 04 18 -112
1885 11 05 -106 -147
1885 11 06 -124 -183
1885 11 07 -146 -245
1885 11 08 -116 -218
1885 11 09 -81 -122
1885 11 10 -67 -111
1885 11 11 -86 -133
1885 11 12 -120 -167
1885 11 13 -139 -201
1885 11 14 -49 -153
1885 11 15 1 -92
1885 11 16 6 -31
1885 11 17 23 -60
1885 11 18 -10 -61
1885 11 19 -56 -147
1885 11 20 -46 -84
1885 11 21 -56 -78
1885 11 22 -68 -215
1885 11 23 -168 -215
1885 11 24 9 -191
1885 11 25 4 -81
1885 11 26 -76 -168
1885 11 27 -111 -186
1885 11 28 -141 -240
1885 11 29 -51 -145
1885 11 30 -59 -175
1885 12 01 -110 -197
1885 12 02 -81 -222
1885 12 03 -46 -96
1885 12 04 -21 -61
1885 12 05 -24 -67
1885 12 06 -11 -70
1885 12 07 -16 -37
1885 12 08 -11 -49
1885 12 09 -27 -80
1885 12 10 -51 -134
1885 12 11 -21 -139
1885 12 12 -111 -163
1885 12 13 -31 -117
1885 12 14 -39 -70
1885 12 15 -1 -56
1885 12 16 -11 -52
1885 12 17 -21 -72
1885 12 18 -57 -109
1885 12 19 -106 -204
1885 12 20 -196 -266
1885 12 21 -175 -299
1885 12 22 -52 -179
1885 12 23 -41 -173
1885 12 24 -169 -242
1885 12 25 -160 -213
1885 12 26 -126 -164
1885 12 27 -73 -141
1885 12 28 -71 -293
1885 12 29 -149 -299
1885 12 30 -73 -153
1885 12 31 -73 -133
1886 01 01 -61 -171
1886 01 02 -64 -121
1886 01 03 -41 -122
1886 01 04 -29 -68
1886 01 05 -27 -72
1886 01 06 -51 -113
1886 01 07 -35 -80
1886 01 08 -26 -55
1886 01 09 -23 -89
1886 01 10 -86 -136
1886 01 11 -66 -175
1886 01 12 -57 -76
1886 01 13 -39 -63
1886 01 14 -16 -75
1886 01 15 6 -81
1886 01 16 -5 -72
1886 01 17 -56 -98
1886 01 18 -95 -136
1886 01 19 -91 -175
1886 01 20 -97 -189
1886 01 21 -81 -130
1886 01 22 -115 -153
1886 01 23 -141 -201
1886 01 24 -131 -181
1886 01 25 -140 -202
1886 01 26 -133 -239
1886 01 27 -127 -192
1886 01 28 -101 -194
1886 01 29 -190 -322
1886 01 30 -253 -365
1886 01 31 -167 -259
1886 02 01 -141 -224
1886 02 02 -116 -174
1886 02 03 -121 -185
1886 02 04 -120 -197
1886 02 05 -101 -214
1886 02 06 -116 -192
1886 02 07 -162 -250
1886 02 08 -168 -291
1886 02 09 -133 -192
1886 02 10 -121 -211
1886 02 11 -103 -209
1886 02 12 -32 -124
1886 02 13 -49 -64
1886 02 14 -36 -83
1886 02 15 -52 -109
1886 02 16 -69 -133
1886 02 17 -23 -161
1886 02 18 -47 -131
1886 02 19 -59 -202
1886 02 20 -63 -197
1886 02 21 -86 -241
1886 02 22 -119 -197
1886 02 23 -114 -269
1886 02 24 -95 -248
1886 02 25 -90 -240
1886 02 26 -61 -259
1886 02 27 -76 -170
1886 02 28 -129 -217
1886 03 01 -151 -223
1886 03 02 -120 -175
1886 03 03 -92 -191
1886 03 04 -50 -158
1886 03 05 -77 -219
1886 03 06 -94 -149
1886 03 07 -16 -100
1886 03 08 -3 -142
1886 03 09 -16 -122
1886 03 10 14 -89
1886 03 11 7 -108
1886 03 12 -17 -96
1886 03 13 -46 -168
1886 03 14 -3 -49
1886 03 15 -35 -198
1886 03 16 -152 -260
1886 03 17 -76 -302
1886 03 18 -70 -163
1886 03 19 -50 -123
1886 03 20 -19 -139
1886 03 21 16 -40
1886 03 22 34 -60
1886 03 23 59 -88
1886 03 24 5 -125
1886 03 25 -101 -169
1886 03 26 -67 -197
1886 03 27 -49 -199
1886 03 28 1 -224
1886 03 29 -21 -82
1886 03 30 42 -88
1886 03 31 77 -31
1886 04 01 34 -18
1886 04 02 75 5
1886 04 03 63 -14
1886 04 04 28 -30
1886 04 05 71 -101
1886 04 06 124 -19
1886 04 07 141 -18
1886 04 08 137 -32
1886 04 09 127 -32
1886 04 10 139 -29
1886 04 11 162 -31
1886 04 12 86 -27
1886 04 13 -11 -85
1886 04 14 21 -109
1886 04 15 3 -55
1886 04 16 -30 -80
1886 04 17 -36 -86
1886 04 18 -40 -92
1886 04 19 14 -113
1886 04 20 58 -62
1886 04 21 104 -50
1886 04 22 29 -32
1886 04 23 71 -78
1886 04 24 23 -24
1886 04 25 94 -66
1886 04 26 134 -16
1886 04 27 117 -14
1886 04 28 74 -12
1886 04 29 18 -40
1886 04 30 176 -15
1886 05 01 183 92
1886 05 02 134 1
1886 05 03 49 -50
1886 05 04 64 -46
1886 05 05 120 -19
1886 05 06 74 4
1886 05 07 14 -9
1886 05 08 44 -13
1886 05 09 119 14
1886 05 10 200 26
1886 05 11 202 69
1886 05 12 213 59
1886 05 13 113 19
1886 05 14 61 23
1886 05 15 62 34
1886 05 16 42 20
1886 05 17 87 2
1886 05 18 146 -11
1886 05 19 194 46
1886 05 20 160 91
1886 05 21 141 62
1886 05 22 110 48
1886 05 23 139 -24
1886 05 24 146 28
1886 05 25 100 6
1886 05 26 50 6
1886 05 27 135 -16
